id,suhu,ph,salinitas,ketinggian,create at,update at
3,30,50,60,70,9/16/2021 21:38,NULL
4,90,72,55,36,9/16/2021 21:38,NULL
5,16,88,89,87,9/17/2021 0:59,NULL
6,11,15,10,,9/17/2021 14:31,NULL
7,11,15,10,18,9/17/2021 14:32,NULL
8,11,15,10,18,9/17/2021 14:35,NULL
9,11,15,10,18,9/17/2021 14:46,NULL
10,11,15,10,18,9/17/2021 14:47,NULL
11,11,15,10,18,9/17/2021 14:48,NULL
12,11,15,10,18,9/17/2021 14:56,NULL
13,11,15,10,18,9/17/2021 14:56,NULL
14,11,15,10,18,9/17/2021 14:58,NULL
15,11,15,10,18,9/17/2021 15:00,NULL
16,11,15,10,18,9/17/2021 15:01,NULL
17,11,15,10,18,9/17/2021 15:01,NULL
18,30.19,40.24,1084.88,7,9/17/2021 15:52,NULL
19,30.19,40.24,1084.88,7,9/17/2021 15:52,NULL
20,30.19,40.24,1084.88,7,9/17/2021 15:53,NULL
21,30.19,40.24,1084.88,7,9/17/2021 15:53,NULL
22,30.19,40.24,1084.88,7,9/17/2021 15:53,NULL
23,30.19,40.24,1084.88,7,9/17/2021 15:53,NULL
24,30.19,40.24,1084.88,7,9/17/2021 15:54,NULL
25,32.25,7.6,1084.82,0,10/20/2021 12:02,NULL
26,32.25,7.56,1084.82,0,10/20/2021 12:02,NULL
27,32.25,7.6,1084.82,0,10/20/2021 12:02,NULL
28,32.31,7.49,1084.82,180,10/20/2021 12:03,NULL
29,32.25,7.46,1084.82,0,10/20/2021 12:03,NULL
30,32.31,7.44,1084.82,0,10/20/2021 12:03,NULL
31,32.25,7.44,1084.82,19,10/20/2021 12:03,NULL
32,32.31,7.46,1084.82,7,10/20/2021 12:03,NULL
33,32.25,7.43,1084.82,24,10/20/2021 12:03,NULL
34,32.69,7.41,1084.82,0,10/20/2021 12:03,NULL
35,33.19,7.41,1084.82,0,10/20/2021 12:04,NULL
36,33.25,7.38,1084.82,172,10/20/2021 12:04,NULL
37,33.19,7.36,1084.82,0,10/20/2021 12:04,NULL
38,33.13,7.38,1084.82,0,10/20/2021 12:04,NULL
39,33.06,7.33,1084.82,0,10/20/2021 12:04,NULL
40,33,7.32,1084.82,0,10/20/2021 12:04,NULL
41,33,7.37,1084.82,0,10/20/2021 12:04,NULL
42,33,7.36,1084.82,0,10/20/2021 12:05,NULL
43,32.69,7.52,1084.82,0,10/20/2021 12:09,NULL
44,32.69,7.46,1084.82,0,10/20/2021 12:09,NULL
45,32.75,7.38,1084.82,0,10/20/2021 12:10,NULL
46,32.69,7.34,1084.82,0,10/20/2021 12:10,NULL
47,32.69,7.33,1084.82,0,10/20/2021 12:10,NULL
48,32.69,7.31,601.62,0,10/20/2021 12:10,NULL
49,32.63,7.29,1084.82,0,10/20/2021 12:10,NULL
50,-127,40.24,1084.88,0,10/20/2021 12:19,NULL
51,-127,40.24,1084.88,0,10/20/2021 12:19,NULL
52,33.44,7.63,1084.82,0,10/20/2021 12:20,NULL
53,33.44,7.46,1084.81,0,10/20/2021 12:20,NULL
54,33.5,7.37,1084.81,0,10/20/2021 12:20,NULL
55,33.5,7.34,1084.81,0,10/20/2021 12:20,NULL
56,33.5,7.3,1084.81,0,10/20/2021 12:20,NULL
57,33.56,7.26,1084.81,0,10/20/2021 12:20,NULL
58,33.5,7.25,1084.81,0,10/20/2021 12:20,NULL
59,33.5,7.23,1084.81,0,10/20/2021 12:21,NULL
60,33.44,7.22,1084.81,0,10/20/2021 12:21,NULL
61,33.5,7.22,1084.81,0,10/20/2021 12:21,NULL
62,33.44,7.22,1084.81,8,10/20/2021 12:21,NULL
63,33.5,7.23,1084.81,0,10/20/2021 12:21,NULL
64,33.44,7.22,1084.81,0,10/20/2021 12:21,NULL
65,33.44,7.2,1084.81,0,10/20/2021 12:21,NULL
66,33.44,7.2,1084.81,0,10/20/2021 12:22,NULL
67,33.44,7.21,1084.81,0,10/20/2021 12:22,NULL
68,33.44,7.21,1084.81,0,10/20/2021 12:22,NULL
69,33.38,7.19,1084.81,0,10/20/2021 12:22,NULL
70,33.38,7.18,1084.81,0,10/20/2021 12:22,NULL
71,33.38,7.34,1084.82,0,10/20/2021 12:25,NULL
72,33.38,7.33,1084.81,47,10/20/2021 12:25,NULL
73,33.38,7.29,1084.81,37,10/20/2021 12:25,NULL
74,33.44,7.28,1084.81,42,10/20/2021 12:26,NULL
75,33.38,7.26,1084.81,3,10/20/2021 12:26,NULL
76,33.44,7.24,1084.81,560,10/20/2021 12:26,NULL
77,33.44,7.25,1084.8,560,10/20/2021 12:26,NULL
78,33.44,7.24,1084.81,560,10/20/2021 12:26,NULL
79,33.44,7.24,1084.81,252,10/20/2021 12:26,NULL
80,33.5,7.25,1084.81,560,10/20/2021 12:26,NULL
81,33.44,7.29,1084.81,251,10/20/2021 12:27,NULL
82,33.44,7.3,1084.81,3,10/20/2021 12:27,NULL
83,33.44,7.34,1084.8,3,10/20/2021 12:27,NULL
84,-127,40.24,1084.88,0,10/20/2021 12:34,NULL
85,-127,40.24,1084.88,0,10/20/2021 12:34,NULL
86,-127,40.24,1084.88,0,10/20/2021 12:34,NULL
87,32.88,7.28,1084.82,-460,10/20/2021 12:36,NULL
88,32.88,7.26,1084.81,-460,10/20/2021 12:36,NULL
89,32.88,7.35,1084.81,73,10/20/2021 12:36,NULL
